lag,msd_0,msd_1,msd_2,minutes_lag,ea_msd
108,1917.4184110056644,2426.6328609444486,1618.1508599350163,1080,1987.4007106283764
109,1932.1606747933574,2449.7418482775993,1631.4150447197014,1090,2004.4391892635529
110,1946.8015103798878,2473.0112603317384,1645.1283504371042,1100,2021.64704038291
111,1961.7986934102294,2495.8227175817,1658.7741431353836,1110,2038.7985180424375
112,1977.5607004188525,2518.6216662728298,1673.034241818476,1120,2056.4055361700525
113,1992.2668236194638,2541.9017650911196,1687.4893677416758,1130,2073.885985484086
114,2007.1739173820856,2564.551450090837,1701.8533926238372,1140,2091.1929200322534
115,2022.6291583159327,2587.6182188597586,1715.3816692341493,1150,2108.5430154699466
116,2038.5300247084012,2611.374683667463,1729.117580796206,1160,2126.340763057357
117,2054.649397837494,2635.7722028579296,1742.1715920740037,1170,2144.197730923142
118,2070.902150447116,2660.0798778170524,1755.37589224974,1180,2162.1193068379694
119,2086.3000804724384,2685.1891200938494,1768.5229944630898,1190,2180.0040650097926
120,2101.380438499248,2709.9416753896826,1781.2268849966558,1200,2197.516332961862
121,2116.992118907909,2734.543610986268,1794.4977504375877,1210,2215.3444934439217
122,2133.8732331310434,2758.589568138645,1807.6528067015906,1220,2233.3718693237597
123,2149.4420214011625,2782.531954028249,1820.8618950601992,1230,2250.9452901632035
124,2165.10917161386,2807.664459833202,1834.841420051165,1240,2269.205017166076
125,2181.2480761725,2832.9348528523096,1848.7596663254521,1250,2287.6475317834206
126,2196.9564631170965,2858.1077787651807,1862.951497633851,1260,2306.005246505376
127,2212.6267405649887,2883.0964788463925,1876.877289648465,1270,2324.2001696866155
128,2228.6819651871447,2907.930079925468,1890.924816580185,1280,2342.5122872309325
129,2244.5442755711088,2931.5142003258284,1905.444196240967,1290,2360.5008907126344
130,2261.3246248587,2955.1147494074353,1919.7304306192937,1300,2378.723268295143
131,2277.0823501998893,2978.049749599883,1934.309909424356,1310,2396.480669741376
132,2293.609317861623,2999.8066197605117,1948.915701430041,1320,2414.110546350725
133,2310.3155474877276,3021.9421659920404,1962.4301421177663,1330,2431.5626185325114
134,2327.39173744372,3044.4574411205235,1975.1587083847824,1340,2449.002628983009
135,2344.0771134555766,3067.853338737774,1988.198999492919,1350,2466.7098172287565
136,2360.557362782749,3090.699531445703,2000.607967373119,1360,2483.9549538671904
137,2377.6376735552863,3113.7751580632466,2012.9208479361996,1370,2501.444559851577
138,2393.7053939471143,3136.8494107718966,2025.2099761772274,1380,2518.5882602987463
139,2409.7060871189387,3160.378050313106,2037.3661463214132,1390,2535.8167612511525
140,2426.568821326611,3184.245322964955,2049.100521231883,1400,2553.3048885078165
141,2443.996486197584,3208.2385034291196,2061.8286903655403,1410,2571.354559997415
142,2461.555933978251,3231.2787003010358,2074.6324787423073,1420,2589.1557043405314
143,2479.3551066540604,3254.578821100204,2087.7026275770927,1430,2607.2121851104525
144,2497.129456888177,3276.1558537613364,2101.407357604442,1440,2624.8975560846516
